설정: CHUNK_SIZE_MB=8, INTERVAL_SECONDS=2, MAX_ALLOCATION_MB=1024
[2026-09-18 04:57:22.956] 할당 #1 | +8MiB | 누적 8MiB | alloc_fill=6.217ms | JVM used=9MiB committed=19MiB max=1160MiB
[2026-09-18 04:57:24.966] 할당 #2 | +8MiB | 누적 16MiB | alloc_fill=7.823ms | JVM used=17MiB committed=31MiB max=1160MiB
[2026-09-18 04:57:26.988] 할당 #3 | +8MiB | 누적 24MiB | alloc_fill=21.355ms | JVM used=25MiB committed=42MiB max=1160MiB
[2026-09-18 04:57:29.005] 할당 #4 | +8MiB | 누적 32MiB | alloc_fill=15.404ms | JVM used=33MiB committed=42MiB max=1160MiB
[2026-09-18 04:57:31.041] 할당 #5 | +8MiB | 누적 40MiB | alloc_fill=35.499ms | JVM used=41MiB committed=81MiB max=1160MiB
[2026-09-18 04:57:33.323] 할당 #6 | +8MiB | 누적 48MiB | alloc_fill=262.340ms | JVM used=50MiB committed=81MiB max=1160MiB
[2026-09-18 04:57:35.371] 할당 #7 | +8MiB | 누적 56MiB | alloc_fill=44.593ms | JVM used=57MiB committed=81MiB max=1160MiB
[2026-09-18 04:57:37.376] 할당 #8 | +8MiB | 누적 64MiB | alloc_fill=0.948ms | JVM used=66MiB committed=81MiB max=1160MiB
[2026-09-18 04:57:39.405] 할당 #9 | +8MiB | 누적 72MiB | alloc_fill=27.113ms | JVM used=73MiB committed=158MiB max=1160MiB
[2026-09-18 04:57:41.408] 할당 #10 | +8MiB | 누적 80MiB | alloc_fill=1.518ms | JVM used=82MiB committed=158MiB max=1160MiB
[2026-09-18 04:57:43.424] 할당 #11 | +8MiB | 누적 88MiB | alloc_fill=14.739ms | JVM used=90MiB committed=158MiB max=1160MiB
[2026-09-18 04:57:45.433] 할당 #12 | +8MiB | 누적 96MiB | alloc_fill=8.141ms | JVM used=98MiB committed=158MiB max=1160MiB
[2026-09-18 04:57:47.444] 할당 #13 | +8MiB | 누적 104MiB | alloc_fill=7.596ms | JVM used=106MiB committed=158MiB max=1160MiB
[2026-09-18 04:57:49.488] 할당 #14 | +8MiB | 누적 112MiB | alloc_fill=43.192ms | JVM used=113MiB committed=158MiB max=1160MiB
[2026-09-18 04:57:51.491] 할당 #15 | +8MiB | 누적 120MiB | alloc_fill=1.340ms | JVM used=122MiB committed=158MiB max=1160MiB
[2026-09-18 04:57:53.494] 할당 #16 | +8MiB | 누적 128MiB | alloc_fill=1.242ms | JVM used=130MiB committed=158MiB max=1160MiB
[2026-09-18 04:57:55.497] 할당 #17 | +8MiB | 누적 136MiB | alloc_fill=1.474ms | JVM used=138MiB committed=158MiB max=1160MiB
[2026-09-18 04:57:57.499] 할당 #18 | +8MiB | 누적 144MiB | alloc_fill=0.985ms | JVM used=146MiB committed=158MiB max=1160MiB
[2026-09-18 04:57:59.536] 할당 #19 | +8MiB | 누적 152MiB | alloc_fill=34.621ms | JVM used=153MiB committed=352MiB max=1160MiB
[2026-09-18 04:58:01.540] 할당 #20 | +8MiB | 누적 160MiB | alloc_fill=2.742ms | JVM used=163MiB committed=352MiB max=1160MiB
[2026-09-18 04:58:03.549] 할당 #21 | +8MiB | 누적 168MiB | alloc_fill=6.692ms | JVM used=171MiB committed=352MiB max=1160MiB
[2026-09-18 04:58:05.557] 할당 #22 | +8MiB | 누적 176MiB | alloc_fill=5.007ms | JVM used=179MiB committed=352MiB max=1160MiB
[2026-09-18 04:58:07.566] 할당 #23 | +8MiB | 누적 184MiB | alloc_fill=4.802ms | JVM used=187MiB committed=352MiB max=1160MiB
[2026-09-18 04:58:09.572] 할당 #24 | +8MiB | 누적 192MiB | alloc_fill=3.610ms | JVM used=195MiB committed=352MiB max=1160MiB
[2026-09-18 04:58:11.583] 할당 #25 | +8MiB | 누적 200MiB | alloc_fill=10.113ms | JVM used=203MiB committed=352MiB max=1160MiB
