설정: CHUNK_SIZE_MB=8, INTERVAL_SECONDS=2, MAX_ALLOCATION_MB=1024
[2026-09-18 04:43:08.909] 할당 #1 | +8MiB | 누적 8MiB | alloc_fill=10.593ms | JVM used=9MiB committed=15MiB max=1160MiB
[2026-09-18 04:43:10.934] 할당 #2 | +8MiB | 누적 16MiB | alloc_fill=23.105ms | JVM used=17MiB committed=31MiB max=1160MiB
[2026-09-18 04:43:12.937] 할당 #3 | +8MiB | 누적 24MiB | alloc_fill=2.659ms | JVM used=25MiB committed=42MiB max=1160MiB
[2026-09-18 04:43:14.941] 할당 #4 | +8MiB | 누적 32MiB | alloc_fill=2.534ms | JVM used=33MiB committed=42MiB max=1160MiB
[2026-09-18 04:43:16.951] 할당 #5 | +8MiB | 누적 40MiB | alloc_fill=9.629ms | JVM used=41MiB committed=81MiB max=1160MiB
[2026-09-18 04:43:18.953] 할당 #6 | +8MiB | 누적 48MiB | alloc_fill=1.082ms | JVM used=50MiB committed=81MiB max=1160MiB
[2026-09-18 04:43:21.005] 할당 #7 | +8MiB | 누적 56MiB | alloc_fill=49.755ms | JVM used=57MiB committed=81MiB max=1160MiB
[2026-09-18 04:43:23.011] 할당 #8 | +8MiB | 누적 64MiB | alloc_fill=1.058ms | JVM used=66MiB committed=81MiB max=1160MiB
[2026-09-18 04:43:25.031] 할당 #9 | +8MiB | 누적 72MiB | alloc_fill=18.419ms | JVM used=73MiB committed=158MiB max=1160MiB
[2026-09-18 04:43:27.034] 할당 #10 | +8MiB | 누적 80MiB | alloc_fill=1.748ms | JVM used=82MiB committed=158MiB max=1160MiB
[2026-09-18 04:43:29.062] 할당 #11 | +8MiB | 누적 88MiB | alloc_fill=25.672ms | JVM used=90MiB committed=158MiB max=1160MiB
[2026-09-18 04:43:31.073] 할당 #12 | +8MiB | 누적 96MiB | alloc_fill=10.086ms | JVM used=98MiB committed=158MiB max=1160MiB
[2026-09-18 04:43:33.075] 할당 #13 | +8MiB | 누적 104MiB | alloc_fill=1.154ms | JVM used=106MiB committed=158MiB max=1160MiB
[2026-09-18 04:43:35.096] 할당 #14 | +8MiB | 누적 112MiB | alloc_fill=19.426ms | JVM used=113MiB committed=158MiB max=1160MiB
[2026-09-18 04:43:37.098] 할당 #15 | +8MiB | 누적 120MiB | alloc_fill=1.219ms | JVM used=122MiB committed=158MiB max=1160MiB
[2026-09-18 04:43:39.100] 할당 #16 | +8MiB | 누적 128MiB | alloc_fill=1.337ms | JVM used=130MiB committed=158MiB max=1160MiB
[2026-09-18 04:43:41.102] 할당 #17 | +8MiB | 누적 136MiB | alloc_fill=1.229ms | JVM used=138MiB committed=158MiB max=1160MiB
[2026-09-18 04:43:43.103] 할당 #18 | +8MiB | 누적 144MiB | alloc_fill=1.029ms | JVM used=146MiB committed=158MiB max=1160MiB
[2026-09-18 04:43:45.120] 할당 #19 | +8MiB | 누적 152MiB | alloc_fill=15.719ms | JVM used=153MiB committed=352MiB max=1160MiB
[2026-09-18 04:43:47.125] 할당 #20 | +8MiB | 누적 160MiB | alloc_fill=1.276ms | JVM used=163MiB committed=352MiB max=1160MiB
[2026-09-18 04:43:49.154] 할당 #21 | +8MiB | 누적 168MiB | alloc_fill=5.289ms | JVM used=171MiB committed=352MiB max=1160MiB
[2026-09-18 04:43:51.167] 할당 #22 | +8MiB | 누적 176MiB | alloc_fill=1.215ms | JVM used=179MiB committed=352MiB max=1160MiB
[2026-09-18 04:43:53.172] 할당 #23 | +8MiB | 누적 184MiB | alloc_fill=4.074ms | JVM used=187MiB committed=352MiB max=1160MiB
[2026-09-18 04:43:55.191] 할당 #24 | +8MiB | 누적 192MiB | alloc_fill=16.933ms | JVM used=195MiB committed=352MiB max=1160MiB
[2026-09-18 04:43:57.220] 할당 #25 | +8MiB | 누적 200MiB | alloc_fill=22.243ms | JVM used=203MiB committed=352MiB max=1160MiB
[2026-09-18 04:43:59.228] 할당 #26 | +8MiB | 누적 208MiB | alloc_fill=2.971ms | JVM used=211MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:01.249] 할당 #27 | +8MiB | 누적 216MiB | alloc_fill=18.965ms | JVM used=219MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:03.261] 할당 #28 | +8MiB | 누적 224MiB | alloc_fill=11.880ms | JVM used=227MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:05.264] 할당 #29 | +8MiB | 누적 232MiB | alloc_fill=2.499ms | JVM used=235MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:07.495] 할당 #30 | +8MiB | 누적 240MiB | alloc_fill=228.685ms | JVM used=241MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:09.507] 할당 #31 | +8MiB | 누적 248MiB | alloc_fill=11.369ms | JVM used=253MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:11.519] 할당 #32 | +8MiB | 누적 256MiB | alloc_fill=8.654ms | JVM used=261MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:13.532] 할당 #33 | +8MiB | 누적 264MiB | alloc_fill=10.436ms | JVM used=269MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:15.547] 할당 #34 | +8MiB | 누적 272MiB | alloc_fill=12.057ms | JVM used=277MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:17.562] 할당 #35 | +8MiB | 누적 280MiB | alloc_fill=10.743ms | JVM used=285MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:19.570] 할당 #36 | +8MiB | 누적 288MiB | alloc_fill=5.557ms | JVM used=293MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:21.584] 할당 #37 | +8MiB | 누적 296MiB | alloc_fill=11.223ms | JVM used=301MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:23.604] 할당 #38 | +8MiB | 누적 304MiB | alloc_fill=17.569ms | JVM used=309MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:25.614] 할당 #39 | +8MiB | 누적 312MiB | alloc_fill=7.590ms | JVM used=317MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:27.634] 할당 #40 | +8MiB | 누적 320MiB | alloc_fill=17.546ms | JVM used=325MiB committed=352MiB max=1160MiB
[2026-09-18 04:44:30.040] 할당 #41 | +8MiB | 누적 328MiB | alloc_fill=401.831ms | JVM used=329MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:32.064] 할당 #42 | +8MiB | 누적 336MiB | alloc_fill=18.630ms | JVM used=341MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:34.082] 할당 #43 | +8MiB | 누적 344MiB | alloc_fill=16.842ms | JVM used=349MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:36.129] 할당 #44 | +8MiB | 누적 352MiB | alloc_fill=44.142ms | JVM used=357MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:38.187] 할당 #45 | +8MiB | 누적 360MiB | alloc_fill=56.124ms | JVM used=365MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:40.194] 할당 #46 | +8MiB | 누적 368MiB | alloc_fill=5.930ms | JVM used=373MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:42.208] 할당 #47 | +8MiB | 누적 376MiB | alloc_fill=11.237ms | JVM used=381MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:44.246] 할당 #48 | +8MiB | 누적 384MiB | alloc_fill=32.864ms | JVM used=389MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:46.260] 할당 #49 | +8MiB | 누적 392MiB | alloc_fill=12.476ms | JVM used=397MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:48.271] 할당 #50 | +8MiB | 누적 400MiB | alloc_fill=10.501ms | JVM used=405MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:50.298] 할당 #51 | +8MiB | 누적 408MiB | alloc_fill=22.164ms | JVM used=413MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:52.314] 할당 #52 | +8MiB | 누적 416MiB | alloc_fill=11.890ms | JVM used=421MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:54.372] 할당 #53 | +8MiB | 누적 424MiB | alloc_fill=56.165ms | JVM used=429MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:56.407] 할당 #54 | +8MiB | 누적 432MiB | alloc_fill=33.496ms | JVM used=437MiB committed=758MiB max=1160MiB
[2026-09-18 04:44:58.428] 할당 #55 | +8MiB | 누적 440MiB | alloc_fill=11.843ms | JVM used=445MiB committed=758MiB max=1160MiB
[2026-09-18 04:45:00.458] 할당 #56 | +8MiB | 누적 448MiB | alloc_fill=26.043ms | JVM used=453MiB committed=758MiB max=1160MiB
[2026-09-18 04:45:02.482] 할당 #57 | +8MiB | 누적 456MiB | alloc_fill=22.898ms | JVM used=461MiB committed=758MiB max=1160MiB
[2026-09-18 04:45:04.505] 할당 #58 | +8MiB | 누적 464MiB | alloc_fill=20.678ms | JVM used=469MiB committed=758MiB max=1160MiB
[2026-09-18 04:45:06.535] 할당 #59 | +8MiB | 누적 472MiB | alloc_fill=29.333ms | JVM used=477MiB committed=758MiB max=1160MiB
[2026-09-18 04:45:08.554] 할당 #60 | +8MiB | 누적 480MiB | alloc_fill=17.517ms | JVM used=485MiB committed=758MiB max=1160MiB
[2026-09-18 04:45:10.578] 할당 #61 | +8MiB | 누적 488MiB | alloc_fill=22.919ms | JVM used=495MiB committed=758MiB max=1160MiB
[2026-09-18 04:45:12.608] 할당 #62 | +8MiB | 누적 496MiB | alloc_fill=27.550ms | JVM used=503MiB committed=758MiB max=1160MiB
[2026-09-18 04:45:14.640] 할당 #63 | +8MiB | 누적 504MiB | alloc_fill=26.481ms | JVM used=511MiB committed=758MiB max=1160MiB
[2026-09-18 04:45:16.668] 할당 #64 | +8MiB | 누적 512MiB | alloc_fill=26.536ms | JVM used=519MiB committed=758MiB max=1160MiB
[2026-09-18 04:45:19.809] 할당 #65 | +8MiB | 누적 520MiB | alloc_fill=
