설정: CHUNK_SIZE_MB=8, INTERVAL_SECONDS=2, MAX_ALLOCATION_MB=1024
[2026-09-18 04:47:50.359] 할당 #1 | +8MiB | 누적 8MiB | alloc_fill=6.484ms | JVM used=9MiB committed=15MiB max=1160MiB
[2026-09-18 04:47:52.376] 할당 #2 | +8MiB | 누적 16MiB | alloc_fill=14.402ms | JVM used=17MiB committed=31MiB max=1160MiB
[2026-09-18 04:47:54.400] 할당 #3 | +8MiB | 누적 24MiB | alloc_fill=23.400ms | JVM used=25MiB committed=42MiB max=1160MiB
[2026-09-18 04:47:56.411] 할당 #4 | +8MiB | 누적 32MiB | alloc_fill=9.501ms | JVM used=33MiB committed=42MiB max=1160MiB
[2026-09-18 04:47:58.443] 할당 #5 | +8MiB | 누적 40MiB | alloc_fill=29.977ms | JVM used=41MiB committed=81MiB max=1160MiB
[2026-09-18 04:48:00.462] 할당 #6 | +8MiB | 누적 48MiB | alloc_fill=17.024ms | JVM used=50MiB committed=81MiB max=1160MiB
[2026-09-18 04:48:02.498] 할당 #7 | +8MiB | 누적 56MiB | alloc_fill=33.804ms | JVM used=57MiB committed=81MiB max=1160MiB
[2026-09-18 04:48:04.503] 할당 #8 | +8MiB | 누적 64MiB | alloc_fill=2.166ms | JVM used=66MiB committed=81MiB max=1160MiB
[2026-09-18 04:48:06.541] 할당 #9 | +8MiB | 누적 72MiB | alloc_fill=36.173ms | JVM used=73MiB committed=158MiB max=1160MiB
[2026-09-18 04:48:08.545] 할당 #10 | +8MiB | 누적 80MiB | alloc_fill=1.583ms | JVM used=82MiB committed=158MiB max=1160MiB
[2026-09-18 04:48:10.560] 할당 #11 | +8MiB | 누적 88MiB | alloc_fill=11.393ms | JVM used=90MiB committed=158MiB max=1160MiB
[2026-09-18 04:48:12.568] 할당 #12 | +8MiB | 누적 96MiB | alloc_fill=5.871ms | JVM used=98MiB committed=158MiB max=1160MiB
[2026-09-18 04:48:14.581] 할당 #13 | +8MiB | 누적 104MiB | alloc_fill=10.119ms | JVM used=106MiB committed=158MiB max=1160MiB
[2026-09-18 04:48:16.649] 할당 #14 | +8MiB | 누적 112MiB | alloc_fill=64.915ms | JVM used=113MiB committed=158MiB max=1160MiB
[2026-09-18 04:48:18.655] 할당 #15 | +8MiB | 누적 120MiB | alloc_fill=4.074ms | JVM used=122MiB committed=158MiB max=1160MiB
[2026-09-18 04:48:20.663] 할당 #16 | +8MiB | 누적 128MiB | alloc_fill=6.047ms | JVM used=130MiB committed=158MiB max=1160MiB
[2026-09-18 04:48:22.668] 할당 #17 | +8MiB | 누적 136MiB | alloc_fill=3.313ms | JVM used=138MiB committed=158MiB max=1160MiB
[2026-09-18 04:48:24.681] 할당 #18 | +8MiB | 누적 144MiB | alloc_fill=9.622ms | JVM used=146MiB committed=158MiB max=1160MiB
[2026-09-18 04:48:26.747] 할당 #19 | +8MiB | 누적 152MiB | alloc_fill=59.141ms | JVM used=153MiB committed=352MiB max=1160MiB
[2026-09-18 04:48:28.751] 할당 #20 | +8MiB | 누적 160MiB | alloc_fill=2.469ms | JVM used=163MiB committed=352MiB max=1160MiB
[2026-09-18 04:48:30.757] 할당 #21 | +8MiB | 누적 168MiB | alloc_fill=2.865ms | JVM used=171MiB committed=352MiB max=1160MiB
[2026-09-18 04:48:32.761] 할당 #22 | +8MiB | 누적 176MiB | alloc_fill=1.628ms | JVM used=179MiB committed=352MiB max=1160MiB
[2026-09-18 04:48:34.766] 할당 #23 | +8MiB | 누적 184MiB | alloc_fill=2.847ms | JVM used=187MiB committed=352MiB max=1160MiB
[2026-09-18 04:48:36.774] 할당 #24 | +8MiB | 누적 192MiB | alloc_fill=6.163ms | JVM used=195MiB committed=352MiB max=1160MiB
[2026-09-18 04:48:38.790] 할당 #25 | +8MiB | 누적 200MiB | alloc_fill=15.133ms | JVM used=203MiB committed=352MiB max=1160MiB
[2026-09-18 04:48:40.806] 할당 #26 | +8MiB | 누적 208MiB | alloc_fill=14.986ms | JVM used=211MiB committed=352MiB max=1160MiB
[2026-09-18 04:48:42.929] 할당 #27 | +8MiB | 누적 216MiB | alloc_fill=110.503ms | JVM used=219MiB committed=352MiB max=1160MiB
[2026-09-18 04:48:45.147] 할당 #28 | +8MiB | 누적 224MiB | alloc_fill=161.327ms | JVM used=227MiB committed=352MiB max=1160MiB
[2026-09-18 04:48:49.246] 할당 #29 | +8MiB | 누적 232MiB | alloc_fill=1799.060ms | JVM used=235MiB committed=352MiB max=1160MiB
[2026-09-18 04:49:22.046] 할당 #30 | +8MiB | 누적 240MiB | alloc_fill=29997.553ms | JVM used=241MiB committed=352MiB max=1160MiB
[2026-09-18 04:49:26.746] 할당 #31 | +8MiB | 누적 248MiB | alloc_fill=1899.611ms | JVM used=251MiB committed=352MiB max=1160MiB
[2026-09-18 04:49:30.246] 할당 #32 | +8MiB | 누적 256MiB | alloc_fill=1199.154ms | JVM used=259MiB committed=352MiB max=1160MiB
[2026-09-18 04:49:33.547] 할당 #33 | +8MiB | 누적 264MiB | alloc_fill=1100.117ms | JVM used=267MiB committed=352MiB max=1160MiB
[2026-09-18 04:49:36.745] 할당 #34 | +8MiB | 누적 272MiB | alloc_fill=799.859ms | JVM used=275MiB committed=352MiB max=1160MiB
[2026-09-18 04:49:39.646] 할당 #35 | +8MiB | 누적 280MiB | alloc_fill=798.535ms | JVM used=283MiB committed=352MiB max=1160MiB
[2026-09-18 04:49:42.647] 할당 #36 | +8MiB | 누적 288MiB | alloc_fill=800.025ms | JVM used=291MiB committed=352MiB max=1160MiB
[2026-09-18 04:49:46.047] 할당 #37 | +8MiB | 누적 296MiB | alloc_fill=999.316ms | JVM used=299MiB committed=352MiB max=1160MiB
[2026-09-18 04:49:49.547] 할당 #38 | +8MiB | 누적 304MiB | alloc_fill=1099.141ms | JVM used=307MiB committed=352MiB max=1160MiB
[2026-09-18 04:49:52.645] 할당 #39 | +8MiB | 누적 312MiB | alloc_fill=899.147ms | JVM used=316MiB committed=352MiB max=1160MiB
[2026-09-18 04:49:55.746] 할당 #40 | +8MiB | 누적 320MiB | alloc_fill=999.303ms | JVM used=324MiB committed=352MiB max=1160MiB
[2026-09-18 04:50:33.647] 할당 #41 | +8MiB | 누적 328MiB | alloc_fill=35398.822ms | JVM used=329MiB committed=758MiB max=1160MiB
[2026-09-18 04:50:36.746] 할당 #42 | +8MiB | 누적 336MiB | alloc_fill=900.063ms | JVM used=341MiB committed=758MiB max=1160MiB
[2026-09-18 04:50:39.646] 할당 #43 | +8MiB | 누적 344MiB | alloc_fill=698.113ms | JVM used=349MiB committed=758MiB max=1160MiB
[2026-09-18 04:50:42.546] 할당 #44 | +8MiB | 누적 352MiB | alloc_fill=500.194ms | JVM used=357MiB committed=758MiB max=1160MiB
[2026-09-18 04:50:45.146] 할당 #45 | +8MiB | 누적 360MiB | alloc_fill=198.497ms | JVM used=365MiB committed=758MiB max=1160MiB
[2026-09-18 04:50:47.446] 할당 #46 | +8MiB | 누적 368MiB | alloc_fill=199.668ms | JVM used=373MiB committed=758MiB max=1160MiB
[2026-09-18 04:50:49.548] 할당 #47 | +8MiB | 누적 376MiB | alloc_fill=1.273ms | JVM used=381MiB committed=758MiB max=1160MiB
[2026-09-18 04:50:51.846] 할당 #48 | +8MiB | 누적 384MiB | alloc_fill=198.761ms | JVM used=391MiB committed=758MiB max=1160MiB
[2026-09-18 04:50:54.746] 할당 #49 | +8MiB | 누적 392MiB | alloc_fill=799.089ms | JVM used=399MiB committed=758MiB max=1160MiB
[2026-09-18 04:50:57.947] 할당 #50 | +8MiB | 누적 400MiB | alloc_fill=800.452ms | JVM used=407MiB committed=758MiB max=1160MiB
[2026-09-18 04:51:01.146] 할당 #51 | +8MiB | 누적 408MiB | alloc_fill=899.718ms | JVM used=415MiB committed=758MiB max=1160MiB
[2026-09-18 04:51:03.946] 할당 #52 | +8MiB | 누적 416MiB | alloc_fill=598.400ms | JVM used=423MiB committed=758MiB max=1160MiB
[2026-09-18 04:51:07.446] 할당 #53 | +8MiB | 누적 424MiB | alloc_fill=1198.460ms | JVM used=431MiB committed=758MiB max=1160MiB
[2026-09-18 04:51:10.547] 할당 #54 | +8MiB | 누적 432MiB | alloc_fill=900.208ms | JVM used=439MiB committed=758MiB max=1160MiB
[2026-09-18 04:51:13.047] 할당 #55 | +8MiB | 누적 440MiB | alloc_fill=100.353ms | JVM used=447MiB committed=758MiB max=1160MiB
[2026-09-18 04:51:15.847] 할당 #56 | +8MiB | 누적 448MiB | alloc_fill=797.342ms | JVM used=455MiB committed=758MiB max=1160MiB
[2026-09-18 04:51:19.548] 할당 #57 | +8MiB | 누적 456MiB | alloc_fill=901.360ms | JVM used=463MiB committed=758MiB max=1160MiB
[2026-09-18 04:51:23.446] 할당 #58 | +8MiB | 누적 464MiB | alloc_fill=598.362ms | JVM used=471MiB committed=758MiB max=1160MiB
[2026-09-18 04:51:26.147] 할당 #59 | +8MiB | 누적 472MiB | alloc_fill=599.998ms | JVM used=479MiB committed=758MiB max=1160MiB
[2026-09-18 04:51:29.446] 할당 #60 | +8MiB | 누적 480MiB | alloc_fill=1000.216ms | JVM used=487MiB committed=758MiB max=1160MiB
